district,youth_households,youth_household_ratio,youth_single_households,youth_single_ratio,young_one_person_20_34,age20_24,age25_29,age30_34,policy_need_score,policy_need_tier,youth_supply_label,policy_need_comment
관악구,121462,46.7,97232,80.05,87887,16175,41982,29730,30.0,높음,청년 주거 수요 높음,"관악구는 청년 가구 비율(46.7%)과 청년 1인가구 비율(80.0%)이 모두 높은 편이며, 20~34세 1인가구 수(87,887가구)도 많아 정책적 공급 필요성이 큰 생활권입니다."
광진구,56494,36.11,40016,70.83,35559,7807,15448,12304,26.5,높음,청년 주거 수요 높음,"광진구는 청년 가구 비율(36.1%)과 청년 1인가구 비율(70.8%)이 모두 높은 편이며, 20~34세 1인가구 수(35,559가구)도 많아 정책적 공급 필요성이 큰 생활권입니다."
동작구,60442,35.0,42800,70.81,37774,8991,16673,12110,25.9,높음,청년 주거 수요 높음,"동작구는 청년 가구 비율(35.0%)과 청년 1인가구 비율(70.8%)이 모두 높은 편이며, 20~34세 1인가구 수(37,774가구)도 많아 정책적 공급 필요성이 큰 생활권입니다."
마포구,61142,36.92,41619,68.07,35026,7078,14822,13126,25.5,높음,청년 주거 수요 높음,"마포구는 청년 가구 비율(36.9%)과 청년 1인가구 비율(68.1%)이 모두 높은 편이며, 20~34세 1인가구 수(35,026가구)도 많아 정책적 공급 필요성이 큰 생활권입니다."
동대문구,52017,33.36,37039,71.21,33608,11679,13451,8478,24.9,높음,청년 주거 수요 높음,"동대문구는 청년 가구 비율(33.4%)과 청년 1인가구 비율(71.2%)이 모두 높은 편이며, 20~34세 1인가구 수(33,608가구)도 많아 정책적 공급 필요성이 큰 생활권입니다."
영등포구,62045,36.05,41478,66.85,36847,3963,16801,16083,24.4,높음,청년 주거 수요 높음,"영등포구는 청년 가구 비율(36.0%)과 청년 1인가구 비율(66.8%)이 모두 높은 편이며, 20~34세 1인가구 수(36,847가구)도 많아 정책적 공급 필요성이 큰 생활권입니다."
서대문구,43713,32.13,29734,68.02,26304,8928,10386,6990,20.6,보통,청년 주거 수요 보통,"서대문구는 청년 가구와 청년 1인가구 비중이 일정 수준 이상으로 확인되어, 생활권 기반 청년주거 공급 검토가 가능합니다."
금천구,35227,31.83,24676,70.05,21969,2448,10350,9171,20.4,보통,청년 주거 수요 보통,"금천구는 청년 가구와 청년 1인가구 비중이 일정 수준 이상으로 확인되어, 생활권 기반 청년주거 공급 검토가 가능합니다."
강서구,80716,31.71,50977,63.16,41778,4548,18337,18893,20.2,보통,청년 주거 수요 보통,"강서구는 청년 가구와 청년 1인가구 비중이 일정 수준 이상으로 확인되어, 생활권 기반 청년주거 공급 검토가 가능합니다."
종로구,19522,30.3,14095,72.2,12224,3336,5017,3871,17.1,보통,청년 주거 수요 보통,"종로구는 청년 가구와 청년 1인가구 비중이 일정 수준 이상으로 확인되어, 생활권 기반 청년주거 공급 검토가 가능합니다."
용산구,32263,32.76,21163,65.6,15827,2493,5889,7445,17.0,보통,청년 주거 수요 보통,"용산구는 청년 가구와 청년 1인가구 비중이 일정 수준 이상으로 확인되어, 생활권 기반 청년주거 공급 검토가 가능합니다."
성북구,53097,28.86,34630,65.22,29896,12035,10820,7041,16.8,보통,청년 주거 수요 보통,"성북구는 청년 가구와 청년 1인가구 비중이 일정 수준 이상으로 확인되어, 생활권 기반 청년주거 공급 검토가 가능합니다."
강남구,56665,26.67,36840,65.01,29133,3128,11788,14217,15.1,낮음,청년 주거 수요 낮음,강남구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
중구,17543,31.18,11687,66.62,11084,2503,4151,4430,14.2,낮음,청년 주거 수요 낮음,중구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
성동구,37664,30.65,23340,61.97,20106,5025,8224,6857,13.9,낮음,청년 주거 수요 낮음,성동구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
송파구,71098,26.99,39745,55.9,33541,2913,13955,16673,13.5,낮음,청년 주거 수요 낮음,송파구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
구로구,44853,26.5,26230,58.48,21584,2723,9545,9316,11.3,낮음,청년 주거 수요 낮음,구로구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
서초구,38173,24.71,22801,59.73,17966,2087,7218,8661,10.0,낮음,청년 주거 수요 낮음,서초구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
은평구,46858,23.88,26027,55.54,22086,3106,9609,9371,8.9,낮음,청년 주거 수요 낮음,은평구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
중랑구,41299,24.22,23205,56.19,19638,2875,8325,8438,8.6,낮음,청년 주거 수요 낮음,중랑구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
강동구,46112,24.58,24261,52.61,21186,2297,9511,9378,8.5,낮음,청년 주거 수요 낮음,강동구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
강북구,27513,20.96,17071,62.05,14074,3700,5586,4788,7.9,낮음,청년 주거 수요 낮음,강북구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
노원구,40715,19.85,20967,51.5,17102,6086,5727,5289,4.8,낮음,청년 주거 수요 낮음,노원구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
양천구,31307,18.49,15150,48.39,11498,1205,4692,5601,2.4,낮음,청년 주거 수요 낮음,양천구는 청년 가구 수요가 확인되지만 상대적 밀도는 높지 않아 보조적 정책 검토 지표로 활용할 수 있습니다.
